,Player,Team,Position,Age,Matches played,Minutes played,Birth country,Passport country,Successful defensive actions per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,Assists per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Key passes per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90
0,C. Pleidrup,Brøndby,"LCB, LB",20.0,26,2428,Denmark,Denmark,9.05,64.76,1.18,81.48,0.05,0.13,7.61,0.39,0.04,63.54,78.36,31.47,66.67,2.74,51.31,11.14,22.57,0.11,0.74,0.17,57.94,1.52,25.71,0.65,0.17,0.3,15.58
1,F. Olar-Spânu,Fortuna Hjørring,"LWB, LW, LB",36.0,26,2417,Romania,Romania,9.1,67.13,1.79,63.41,0.0,0.09,6.55,0.35,0.13,45.63,70.18,13.52,53.4,10.72,35.96,4.99,19.29,0.2,1.36,0.7,55.17,5.25,40.0,1.88,1.23,1.53,9.28
2,S. Karsberg-Petersen,KoldingQ,LCB,24.0,25,2336,Denmark,Denmark,10.75,71.9,1.23,51.85,0.09,0.5,5.89,0.32,0.05,58.12,83.78,20.45,65.03,2.82,48.64,9.43,22.03,0.03,0.09,0.14,48.12,0.55,16.67,0.73,0.09,0.0,8.56
3,S. Thygesen,KoldingQ,LB,18.0,25,2334,Denmark,Denmark,14.22,60.56,1.87,48.78,0.0,0.27,5.58,1.64,0.14,42.26,66.02,16.0,47.86,4.97,31.91,6.84,21.88,0.08,0.68,0.36,43.88,2.74,38.33,0.87,0.41,1.14,10.85
4,S. Baattrup,KoldingQ,"RW, LW, RAMF",21.0,26,2263,Denmark,Denmark,6.85,70.23,1.1,25.0,0.0,0.05,2.79,0.32,0.18,30.09,75.87,8.26,63.54,6.53,27.95,1.14,15.74,0.14,1.19,0.64,65.43,1.78,51.28,1.19,1.05,0.27,4.75
5,J. Davis,Nordsjælland,"RCB, CB, LCB",34.0,26,2255,United States,United States,10.9,74.26,3.48,63.16,0.34,0.55,7.37,0.32,0.0,62.61,86.54,21.8,71.85,3.3,56.02,6.6,20.81,0.0,0.0,0.0,58.97,0.23,20.0,0.46,0.05,0.0,9.48
6,O. Bergmann,ThistedQ,"RCB, LCB",20.0,26,2181,Denmark,Denmark,13.39,67.73,2.62,41.82,0.11,0.62,6.87,0.67,0.05,56.41,84.38,23.44,71.95,4.43,48.79,7.58,20.66,0.02,0.1,0.05,58.16,0.38,25.0,0.24,0.05,0.05,10.34
7,M. Pokorny,HB Køge,"RW, RAMF, LW",24.0,26,2141,United States,United States,10.1,66.13,1.83,38.89,0.0,0.0,6.78,0.46,0.05,29.9,74.53,7.26,53.85,8.12,25.48,1.68,17.72,0.1,1.07,0.51,58.0,3.25,43.75,0.51,0.91,0.76,5.23
8,C. Fløe,HB Køge,"CF, LAMF, LW",20.0,26,2080,Denmark,Denmark,9.31,64.03,8.22,55.41,0.35,0.16,4.9,1.2,0.26,26.42,66.14,6.49,57.26,6.02,22.92,1.15,16.53,0.18,1.1,0.68,57.45,2.46,46.81,0.89,1.05,0.99,3.82
9,L. Pedersen,HB Køge,LCB,25.0,24,2054,Denmark,Denmark,8.64,64.6,1.51,48.15,0.13,0.34,5.06,0.5,0.0,38.55,76.42,18.68,60.66,2.64,29.01,9.31,23.96,0.02,0.17,0.17,52.76,0.73,30.77,0.45,0.22,0.06,10.49
10,D. Hashemi,Nordsjælland,"CF, LW, AMF",21.0,26,2048,Denmark,Denmark,5.97,66.67,1.68,33.33,0.13,0.05,3.08,0.66,0.0,31.6,73.67,8.07,60.76,7.3,27.98,1.58,19.58,0.13,1.07,0.36,61.45,2.96,36.21,1.12,0.77,0.66,4.54
11,A. Riefner,Nordsjælland,"LB, RWB, LAMF",27.0,23,1909,United States,United States,11.61,62.73,1.42,56.0,0.93,0.17,6.43,1.02,0.0,48.64,74.5,16.67,56.66,9.27,41.25,4.66,18.67,0.07,0.46,0.28,47.62,2.67,44.68,0.91,0.51,1.02,8.7
12,L. Kristensen,ThistedQ,"LCB, RCB",29.0,24,1888,Denmark,Denmark,13.37,70.25,2.22,42.11,0.46,0.7,7.22,0.64,0.0,57.7,85.83,19.97,69.88,3.33,49.88,7.83,21.23,0.03,0.12,0.06,47.3,0.35,66.67,0.41,0.35,0.0,8.29
13,T. Peltonen,Nordsjælland,"DMF, LCB",26.0,21,1865,Finland,Finland,10.47,60.47,2.72,52.94,0.2,0.64,7.63,0.48,0.0,53.84,90.08,16.66,79.81,6.62,50.8,2.99,18.66,0.01,0.05,0.05,74.74,0.43,25.0,0.43,0.16,0.0,5.72
14,I. Obaze,HB Køge,"LB, RB",19.0,20,1863,Denmark,Denmark,11.46,68.18,2.23,42.86,0.21,0.13,6.2,0.76,0.13,35.67,79.11,15.35,70.12,4.71,31.34,3.25,18.49,0.08,0.7,0.19,70.45,1.97,48.39,0.57,0.89,0.25,8.34
15,B. Reed,Nordsjælland,"LCB, RCB",27.0,24,1845,United States,United States,10.11,68.47,2.03,58.82,0.51,0.66,6.32,1.08,0.0,61.71,81.88,26.31,67.27,1.85,52.68,8.97,20.87,0.0,0.0,0.0,51.16,0.78,23.08,0.84,0.18,0.06,11.36
16,A. Johannesen,AGF,"LB, LWB, LCB",25.0,21,1765,Faroe Islands,Faroe Islands,7.89,52.25,1.93,50.0,0.0,0.12,5.29,0.48,0.06,54.12,73.86,24.44,65.27,6.02,47.5,4.52,18.52,0.14,1.44,0.12,61.65,3.25,33.33,1.02,0.36,0.6,13.61
17,S. Svendsen,HB Køge,RCB,20.0,21,1755,Denmark,Denmark,9.55,75.34,0.76,53.85,0.39,0.29,6.75,0.41,0.0,40.89,81.77,17.01,66.44,3.2,32.5,8.33,22.93,0.0,0.0,0.0,51.92,0.35,50.0,0.58,0.17,0.06,8.74
18,S. Riis,KoldingQ,"RCB, CB",22.0,19,1647,Denmark,Denmark,10.05,70.53,2.3,61.9,0.63,0.71,6.1,0.77,0.0,57.16,84.7,22.73,68.03,2.19,49.4,7.76,20.66,0.02,0.11,0.05,45.63,0.66,33.33,0.82,0.33,0.0,8.85
19,L. Frank,Fortuna Hjørring,"LCB, CB, RCB",23.0,20,1643,Denmark,Denmark,7.8,66.29,3.25,57.69,0.16,0.75,5.19,0.25,0.06,78.89,90.35,27.77,79.33,3.37,71.53,7.12,19.67,0.01,0.19,0.06,62.83,0.62,50.0,0.81,0.31,0.12,11.17
20,C. Beck,Brøndby,"LB, LW",25.0,24,1607,Denmark,Denmark,10.42,59.86,1.13,47.37,0.0,0.3,6.79,0.36,0.0,57.61,80.37,20.31,73.18,7.34,52.05,4.32,17.18,0.05,0.47,0.06,75.38,1.66,39.29,0.12,0.71,0.24,13.56
21,S. Laursen,AGF,"RCB, CB",21.0,16,1508,Denmark,Denmark,11.04,72.22,1.91,43.75,0.07,1.01,7.46,0.6,0.0,53.65,78.75,25.96,69.43,2.39,44.46,9.01,21.74,0.01,0.12,0.0,63.81,0.54,11.11,0.12,0.0,0.06,12.83
22,F. Lindhardt,Brøndby,"LW, CF",24.0,26,1498,Denmark,Denmark,10.38,61.65,1.8,44.0,1.37,0.22,4.29,1.51,0.22,38.73,73.93,9.01,63.2,9.88,34.04,1.15,15.53,0.15,1.23,0.58,63.04,3.97,40.0,0.29,0.94,1.3,6.06
23,E. Nøddelund,AaB,RCB,23.0,16,1497,Denmark,Denmark,12.47,65.88,5.88,46.74,0.22,1.41,7.44,0.64,0.0,20.21,68.99,10.75,60.71,1.22,14.2,5.95,23.0,0.03,0.19,0.06,56.86,0.45,28.57,0.32,0.13,0.06,5.88
24,M. Sunde,Brøndby,RCB,21.0,18,1483,Norway,Norway,8.98,71.43,1.68,57.14,0.1,0.56,6.53,0.64,0.0,45.84,80.24,24.28,70.96,3.69,36.71,9.14,22.07,0.0,0.08,0.08,62.5,0.24,33.33,0.24,0.08,0.0,11.86
25,I. Riley,Fortuna Hjørring,"RWB, RB, LW",19.0,24,1458,Australia,Australia,9.16,57.83,0.75,11.11,0.31,0.17,6.17,0.75,0.17,35.55,74.71,8.08,56.7,11.24,31.47,1.58,15.97,0.09,0.33,0.33,50.0,2.16,30.77,0.33,1.0,0.83,5.83
26,T. Fremo,AGF,"RB, RWB, LB",30.0,15,1388,Norway,Norway,7.91,57.29,1.95,36.67,0.94,0.13,4.33,0.45,0.0,39.36,74.96,19.06,69.05,5.12,31.51,6.35,20.48,0.01,0.19,0.19,62.96,1.95,26.67,0.45,0.26,0.32,10.05
27,J. Tavlo-Petersson,Brøndby,"RCB, LCB, RCMF",32.0,14,1314,Denmark,Denmark,9.38,67.05,2.67,56.41,0.0,0.21,6.46,0.68,0.14,62.88,82.79,26.03,73.95,4.79,52.12,10.21,21.79,0.05,0.41,0.48,68.28,1.37,30.0,0.89,0.14,0.41,14.32
28,L. Faurskov,KoldingQ,"LW, CF, LAMF",18.0,22,1312,Denmark,Denmark,7.9,68.48,1.63,20.0,0.0,0.08,2.79,0.33,0.08,19.38,71.85,2.52,41.94,6.68,14.74,1.06,20.76,0.11,0.41,0.41,40.0,2.28,32.14,0.33,0.81,0.73,2.2
29,A. Beard,Fortuna Hjørring,"LCB, LB",24.0,14,1244,Australia,Australia,12.44,65.0,1.95,62.96,1.25,0.07,7.81,0.65,0.07,70.25,80.12,31.47,66.67,5.64,59.4,9.69,20.9,0.12,0.8,0.14,52.34,1.95,18.52,1.88,0.14,0.29,12.95
30,S. Damsgaard,ThistedQ,"LB, LCB",19.0,24,1205,Denmark,Denmark,13.6,65.31,0.92,44.44,0.0,0.92,8.15,0.1,0.0,42.44,68.43,19.64,54.17,3.78,35.28,6.65,18.96,0.0,0.0,0.0,35.59,0.51,20.0,0.82,0.0,0.2,9.82
31,P. Pedersen,AaB,"RAMF, LAMF, LW",21.0,15,1182,Denmark,Denmark,11.02,52.45,2.14,30.77,0.0,0.25,4.1,0.99,0.0,23.69,55.56,7.82,36.84,5.68,18.26,3.7,20.41,0.14,0.58,0.25,37.21,2.55,16.13,1.07,0.49,0.25,5.02
32,J. Hasbo,Harvard Crimson,"LCMF, RCMF, LW",19.0,13,1178,Denmark,Denmark,15.06,74.51,2.35,26.32,0.34,0.25,7.37,1.23,0.0,52.47,76.47,18.02,68.49,8.52,47.78,2.96,16.64,0.05,0.74,0.0,66.67,2.47,50.0,0.62,2.22,0.12,8.02
33,E. Veletanlic,KoldingQ,"RCB, LCB",18.0,17,1170,Denmark,Denmark,10.26,62.5,1.51,40.0,0.0,0.5,5.22,0.5,0.0,46.06,76.2,21.22,60.66,2.51,36.3,9.35,21.92,0.03,0.1,0.1,50.0,0.6,33.33,0.3,0.0,0.1,9.45
34,M. Hansen,KoldingQ,"AMF, LW, LCMF",19.0,20,1137,Denmark,Denmark,9.94,60.4,1.19,38.46,0.75,0.27,3.75,0.91,0.0,24.44,78.36,5.74,60.32,7.84,23.53,0.55,14.39,0.05,0.55,0.27,65.0,0.64,57.14,0.36,0.36,0.27,2.74
35,K. Linnebjerg,Nordsjælland,"LWF, LW, RW",18.0,16,1053,Denmark,Denmark,7.94,58.44,0.71,62.5,0.21,0.0,4.61,0.26,0.09,26.21,86.2,4.32,77.55,8.21,24.97,0.88,16.83,0.02,0.53,0.18,61.11,0.53,33.33,0.18,0.35,0.0,2.21
36,J. Cordia,Fortuna Hjørring,"CB, RWB, RCMF",34.0,14,1046,United States,United States,9.81,66.67,1.81,61.9,0.22,0.17,7.58,0.52,0.17,54.46,82.78,16.78,67.18,5.25,48.53,3.87,18.6,0.18,0.77,0.52,57.89,2.41,39.29,0.17,0.86,0.69,8.26
37,J. McCormick,AGF,"RCB, LCB",27.0,12,1037,Australia,Australia,11.98,66.3,2.52,55.17,1.28,1.13,6.91,0.43,0.0,58.76,85.08,27.51,76.97,2.34,51.73,6.94,19.45,0.01,0.26,0.09,65.69,0.78,55.56,0.69,0.26,0.09,11.72
38,S. Obel,AGF,LCB,24.0,13,1021,Denmark,Denmark,10.23,65.08,2.56,68.97,0.0,0.62,7.4,0.62,0.09,57.91,81.74,26.8,72.7,3.97,50.77,6.88,20.49,0.04,0.18,0.18,61.36,0.97,45.45,0.53,0.35,0.18,11.81
39,F. Winther,KoldingQ,"RB, RCB",20.0,15,1005,Denmark,Denmark,11.66,57.58,1.38,57.14,0.0,0.49,6.42,1.09,0.1,52.36,81.32,16.7,66.86,9.09,46.23,5.14,18.49,0.03,0.3,0.2,55.38,1.88,36.84,1.48,0.4,0.4,8.79
40,J. Haugaard,AaB,"LCB, LDMF",,14,987,Denmark,Denmark,12.95,58.54,2.1,47.83,0.73,0.91,6.85,1.19,0.0,19.42,56.34,11.58,46.46,1.28,13.5,5.93,22.95,0.0,0.18,0.0,28.57,0.18,0.0,0.0,0.09,0.0,5.29
41,J. Nystrup,ThistedQ,LB,19.0,16,984,Denmark,Denmark,10.85,52.34,0.78,50.0,0.33,0.48,5.87,0.29,0.0,45.73,73.94,20.25,62.2,5.62,40.59,4.26,17.78,0.01,0.1,0.0,54.76,1.07,27.27,0.0,0.29,0.29,10.75
42,V. Bruce,SC Sand,"LB, LCB, CB",27.0,11,964,United States,United States,15.71,70.59,3.18,53.33,0.23,0.64,11.4,0.21,0.0,65.38,81.49,26.32,62.1,6.58,56.46,8.92,18.98,0.0,0.0,0.0,56.52,0.0,0.0,0.0,0.0,0.0,11.67
43,M. Rylov,Brøndby,"RW, LW, RAMF",18.0,19,947,Denmark,Denmark,11.7,62.37,1.81,42.11,0.11,0.0,7.25,0.76,0.0,32.82,73.33,7.52,58.23,9.61,28.83,1.52,15.2,0.06,0.86,0.29,47.37,2.28,37.5,0.48,0.38,0.67,4.28
44,U. Linde,AaB,"LAMF, RAMF",,14,930,Denmark,Denmark,9.0,51.65,1.45,33.33,0.0,0.0,3.82,0.39,0.1,19.65,54.19,6.0,40.32,3.58,15.77,1.06,17.53,0.04,0.29,0.19,64.0,3.19,36.36,0.29,0.58,0.77,4.74
45,M. Nielsen,HB Køge,"RCB, LCB",22.0,14,929,Denmark,Denmark,10.45,71.15,2.65,47.37,1.03,0.14,5.52,0.7,0.0,45.56,79.82,20.48,63.95,2.79,34.27,11.28,24.83,0.0,0.14,0.0,50.0,0.42,33.33,0.42,0.14,0.0,10.03
46,V. Andersen,ThistedQ,"LW, LAMF",,13,923,Denmark,Denmark,10.43,68.87,1.46,20.0,0.0,0.0,3.75,0.59,0.0,23.79,68.85,7.51,57.14,3.71,20.57,2.24,16.56,0.06,0.39,0.2,57.14,1.85,31.58,0.78,0.49,0.1,4.0
47,M. Lee,Nordsjælland,"RW, RWF, LW",25.0,12,912,United States,United States,6.02,58.62,2.57,38.46,0.11,0.0,2.99,0.89,0.3,33.85,75.51,5.63,52.63,11.94,27.83,1.38,17.5,0.15,0.99,0.69,58.82,3.36,38.24,0.79,0.39,1.58,3.65
48,M. Ficzay,Fortuna Hjørring,RCB,30.0,12,903,Romania,Romania,7.08,60.42,2.29,52.17,0.0,0.4,5.83,0.6,0.0,60.9,87.56,23.12,74.57,2.29,54.22,6.58,18.66,0.0,0.0,0.0,59.62,0.5,20.0,0.5,0.1,0.0,10.66
49,L. Harkes,AaB,"LCB, LCMF, LDMF",24.0,13,889,United States,United States,11.34,63.08,4.05,57.5,0.09,1.21,6.33,0.61,0.0,23.08,63.16,13.46,54.14,1.11,18.73,4.15,17.69,0.02,0.3,0.1,48.28,0.4,75.0,0.3,0.51,0.1,6.58
50,A. Pierre-Louis,AaB,LB,26.0,12,869,Canada,Canada,10.98,47.57,1.97,47.37,0.36,0.21,4.83,1.35,0.1,22.47,47.47,14.29,35.51,1.14,14.4,7.15,25.26,0.05,0.41,0.1,22.0,1.55,20.0,1.24,0.1,0.21,7.04
51,E. Garnier,Napoli,RCB,25.0,11,859,United States,United States,,,,,0.0,,4.24,,,,,,,,,,19.29,,,,,,,,,,
52,M. Thomsen,Lazio,"LCB, LB",22.0,10,850,Denmark,Denmark,,,,,0.26,,4.21,,,,,,,,,,19.33,,,,,,,,,,
53,C. Larsen,Nordsjælland,"LCMF, LW, RW",20.0,18,811,Denmark,Denmark,11.22,61.97,2.24,47.06,0.5,0.13,6.37,1.06,0.0,33.91,68.09,9.11,49.28,5.67,28.37,4.62,18.84,0.04,0.53,0.0,57.69,1.45,18.18,1.19,0.4,0.13,6.47
54,N. Søderberg,ThistedQ,"LB, RB, RCB",23.0,11,725,Denmark,Denmark,17.42,52.11,1.45,57.14,1.31,0.21,8.98,0.83,0.21,40.65,60.2,24.26,52.14,3.32,30.07,7.88,19.32,0.03,0.21,0.21,54.17,2.7,30.77,0.62,0.41,1.45,14.52
55,M. Yde Hedegaard,ThistedQ,"LW, LAMF, CF",18.0,23,719,Denmark,Denmark,7.25,54.9,3.4,30.43,0.0,0.0,3.5,0.3,0.0,23.54,64.15,6.37,51.16,6.07,21.91,1.18,18.06,0.0,0.15,0.0,47.37,0.44,0.0,0.3,0.3,0.0,4.29
56,M. Kildemoes,Brøndby,LCB,25.0,10,717,Denmark,Denmark,,,,,1.01,,3.71,,,,,,,,,,19.34,,,,,,,,,,
57,L. Niklasson,UMASS Lowell River Hawks,"RW, LW, RAMF",21.0,11,688,Denmark,Denmark,11.74,61.7,1.96,22.22,0.0,0.0,5.95,0.87,0.0,24.57,62.83,6.3,62.07,5.22,18.7,0.87,21.13,0.23,0.87,0.87,20.0,3.7,58.82,0.22,1.09,1.96,6.3
58,M. Henriksen,KoldingQ,"RB, LB",18.0,12,618,Denmark,Denmark,12.82,63.29,1.75,66.67,0.0,0.29,6.26,0.73,0.0,39.17,76.21,16.75,64.35,5.39,35.24,3.06,17.51,0.04,0.73,0.15,74.29,1.17,37.5,0.44,0.44,0.29,10.05
59,C. Jensen,AGF,"LWF, LW, AMF",22.0,14,587,Denmark,Denmark,9.66,68.75,1.53,30.0,0.0,0.15,3.5,1.07,0.15,30.05,66.84,7.97,46.15,8.13,24.07,1.99,18.1,0.19,0.92,0.61,33.33,3.83,28.0,1.23,0.15,1.69,5.67
60,S. Markvardsen,HB Køge,"LW, LB, LAMF",18.0,12,561,Denmark,Denmark,12.03,57.58,2.73,41.18,0.39,0.16,6.91,0.48,0.16,35.45,67.87,11.87,54.05,8.02,26.47,3.85,20.29,0.24,1.76,0.96,66.67,4.97,38.71,0.96,0.8,2.09,10.59
61,L. Lundbo Jørgensen,AaB,"LDMF, RCMF, LCB",,15,553,Denmark,Denmark,12.83,43.27,1.75,66.67,0.0,0.19,3.5,4.47,0.0,26.63,59.85,10.89,30.36,3.69,21.58,5.05,20.36,0.0,0.19,0.0,15.38,0.78,25.0,0.39,0.19,0.0,4.67
62,B. Folds,Real Betis,"LCMF, LW",23.0,9,499,United States,United States,,,,,0.0,,6.52,,,,,,,,,,15.77,,,,,,,,,,
63,L. Christensen,,"LW, LAMF",22.0,11,499,Denmark,Denmark,,,,,0.0,,3.45,,,,,,,,,,14.75,,,,,,,,,,
0,S. Tuomala,Ilves,LCB,20.0,24,2273,Finland,Finland,9.4,62.86,1.15,46.43,0.68,0.62,5.23,0.33,0.04,50.3,78.44,25.44,63.86,2.35,38.26,11.91,24.53,0.05,0.45,0.08,47.89,0.91,27.27,1.07,0.41,0.04,11.34
1,J. Haikonen,HPS,LB,21.0,24,2251,Finland,Finland,12.08,62.75,1.04,48.0,0.04,0.29,5.82,0.67,0.0,34.57,69.28,13.45,55.73,4.12,30.78,3.0,19.58,0.05,0.62,0.12,53.15,1.37,42.42,0.62,0.25,0.25,8.91
2,A. Westerlund,Åland United,"RCB, LCB, CB",32.0,23,2201,Finland,Finland,9.45,68.64,2.25,65.45,0.33,1.1,6.66,0.45,0.0,64.2,84.9,29.2,73.25,1.88,50.3,13.74,24.18,0.04,0.2,0.12,55.15,1.35,30.3,1.51,0.45,0.08,13.0
3,A. Miettunen,Åland United,"LB, RB",24.0,23,2189,Finland,Finland,7.77,63.95,0.86,52.38,0.23,0.16,4.21,0.12,0.16,37.7,79.93,11.47,53.76,10.03,30.1,5.06,19.96,0.26,1.19,0.37,49.53,2.84,49.28,0.66,0.37,1.52,7.32
4,L. Nora,TiPS,"CB, RCB",19.0,23,2179,Finland,Finland,8.42,61.64,1.4,51.61,0.0,0.14,5.57,0.81,0.0,54.3,84.33,19.31,66.67,3.24,45.97,8.28,23.86,0.0,0.09,0.05,55.75,0.95,23.81,0.99,0.18,0.0,10.4
5,J. Tynnilä,TiPS,LCB,20.0,23,2179,Finland,Finland,8.64,71.43,2.52,57.14,0.06,0.5,4.66,0.45,0.09,71.0,86.49,28.81,76.72,3.96,62.09,8.19,21.3,0.04,0.5,0.23,70.1,1.62,33.33,0.99,0.77,0.18,13.15
6,M. Roth,HJK,"CB, LCB",24.0,23,2167,Finland,Finland,7.58,75.0,1.17,51.85,0.61,0.3,5.23,0.26,0.04,56.03,85.23,20.89,71.37,3.64,46.15,9.62,22.06,0.04,0.3,0.04,58.45,1.21,39.29,0.56,0.39,0.09,10.66
7,M. Nurmela,HJK,"RCB, RB",25.0,23,2141,Finland,Finland,9.0,76.98,1.58,47.22,0.06,0.26,5.38,0.31,0.04,56.91,79.72,25.01,66.67,4.21,44.89,10.75,21.93,0.05,0.44,0.26,60.53,2.5,49.12,0.44,0.61,0.66,13.69
8,V. Lamberg,JyPK,LCB,18.0,23,2133,Finland,Finland,11.07,65.44,0.92,65.0,0.0,1.52,7.11,0.83,0.0,43.37,81.78,18.1,67.26,3.26,36.71,6.62,21.51,0.0,0.0,0.0,46.48,0.18,25.0,0.18,0.05,0.0,8.32
